Sample Rate:	1000.000000
Time (s)	ECG	GSC
0.833000	0.009032	0.026235
0.834000	0.008223	0.026232
0.835000	0.007471	0.026230
0.836000	0.006999	0.026227
0.837000	0.006885	0.026224
0.838000	0.006894	0.026221
0.839000	0.006779	0.026218
0.840000	0.006544	0.026215
0.841000	0.006529	0.026212
0.842000	0.007104	0.026209
0.843000	0.008059	0.026206
0.844000	0.008721	0.026203
0.845000	0.008757	0.026200
0.846000	0.008366	0.026197
0.847000	0.007908	0.026194
0.848000	0.007645	0.026191
0.849000	0.007658	0.026187
0.850000	0.007896	0.026184
0.851000	0.008277	0.026181
0.852000	0.008731	0.026178
0.853000	0.009272	0.026175
0.854000	0.009897	0.026172
0.855000	0.010410	0.026169
0.856000	0.010620	0.026166
0.857000	0.010547	0.026163
0.858000	0.010311	0.026160
0.859000	0.010062	0.026157
0.860000	0.010029	0.026153
0.861000	0.010456	0.026150
0.862000	0.011285	0.026147
0.863000	0.012131	0.026144
0.864000	0.012775	0.026141
0.865000	0.013330	0.026138
0.866000	0.013852	0.026135
0.867000	0.014246	0.026132
0.868000	0.014532	0.026128
0.869000	0.014887	0.026125
0.870000	0.015461	0.026122
0.871000	0.016367	0.026119
0.872000	0.017755	0.026116
0.873000	0.019634	0.026113
0.874000	0.021608	0.026109
0.875000	0.022955	0.026106
0.876000	0.023253	0.026103
0.877000	0.022758	0.026100
0.878000	0.022100	0.026097
0.879000	0.021941	0.026093
0.880000	0.022604	0.026090
0.881000	0.023757	0.026087
0.882000	0.024754	0.026084
0.883000	0.025171	0.026081
0.884000	0.024986	0.026078
0.885000	0.024601	0.026074
0.886000	0.024714	0.026071
0.887000	0.025450	0.026068
0.888000	0.026021	0.026065
0.889000	0.025936	0.026062
0.890000	0.025450	0.026059
0.891000	0.024925	0.026055
0.892000	0.024608	0.026052
0.893000	0.024578	0.026049
0.894000	0.024693	0.026046
0.895000	0.024796	0.026043
0.896000	0.024941	0.026040
0.897000	0.025191	0.026036
0.898000	0.025373	0.026033
0.899000	0.025274	0.026030
0.900000	0.024907	0.026027
